,Borough,Neighborhood,Latitude,Longitude
0,Albany Park,"Albany Park, Mayfair, North Mayfair, Ravenswood Manor",41.9719367,-87.7161739
1,Archer Heights,Archer Heights,41.8114215,-87.7261651
2,Armour Square,"Armour Square, Chinatown, Wentworth Gardens",41.8400333,-87.633107
3,Ashburn,"Ashburn, Ashburn Estates, Beverly View, Crestline, Parkview, Scottsdale, Wrightwood",41.7475332,-87.7111628
4,Auburn Gresham,"Auburn Gresham, Gresham",41.74338725,-87.6560415931265
5,Austin,"Galewood, The Island, North Austin, South Austin, West Humboldt Park",41.8878759,-87.7648508
6,Avalon Park,"Avalon Park, Marynook, Stony Island Park",41.7450346,-87.5886584
7,Avondale,"Avondale, Jackowo, Polish Village, Wacławowo",41.9389208,-87.711168
8,Belmont Cragin,"Belmont Central, Brickyard, Cragin, Hanson Park",41.9316983,-87.7686699
9,Beverly,"Beverly, East Beverly, West Beverly",41.7181532,-87.6717674
10,Bridgeport,Bridgeport,41.8379385,-87.651028
11,Brighton Park,Brighton Park,41.8189217,-87.6989421
12,Burnside,Burnside,41.7300345,-87.596714
13,Calumet Heights,"Calumet Heights, Pill Hill",41.7300347,-87.5792134
14,Chatham,"Chatham, East Chatham, West Chatham, West Chesterfield",41.7411454,-87.6125481
15,Chicago Lawn,"Chicago Lawn, Lithuanian Plaza, Marquette Park",41.7750332,-87.6964408
16,Clearing,"Chrysler Village, Clearing East, Clearing West",41.780588,-87.7733881
17,Douglas,"Bronzeville, Dearborn Homes, The Gap, Groveland Park, Lake Meadows, Prairie Shores, South Commons, Stateway Gardens",41.8348565,-87.6179536
18,Dunning,"Belmont Heights, Belmont Terrace, Dunning, Irving Woods, Schorsch Village",41.952809,-87.7964493
19,East Garfield Park,"East Garfield Park, Fifth City",41.8808657,-87.7028328
20,East Side,East Side,41.7080202,-87.5348269100358
21,Edgewater,"Andersonville, Edgewater, Edgewater Beach, Edgewater Glen, Lakewood / Balmoral",41.9833689,-87.6639516
22,Edison Park,Edison Park,42.0057335,-87.81401633833357
23,Englewood,"Englewood, Hamilton Park",41.7797559,-87.6458836
24,Forest Glen,"Edgebrook, Forest Glen, Old Edgebrook, Sauganash, South Edgebrook, Wildwood",41.991751550000004,-87.75167396842738
25,Fuller Park,Fuller Park,41.8180891,-87.6325508
26,Gage Park,Gage Park,41.795033,-87.6961636
27,Garfield Ridge,"Garfield Ridge, LeClaire Courts, Sleepy Hollow, Vittum Park",41.8036171,-87.74548862491682
28,Grand Boulevard,"Grand Boulevard, Legends South",41.8139226,-87.6172724
29,Greater Grand Crossing,"Grand Crossing, Greater Grand Crossing, Park Manor",41.7668861,-87.62084461319708
30,Hegewisch,Hegewisch,41.6536462,-87.5469885
31,Hermosa,"Belmont Gardens, Hermosa, Kelvyn Park",41.928643,-87.7345019
32,Humboldt Park,Humboldt Park,41.9057668,-87.7041737
33,Hyde Park,"East Hyde Park, Hyde Park",41.7942253,-87.59256224376242
34,Irving Park,"Avondale Gardens, Irving Park, Kilbourn Park, Merchant Park, Old Irving Park, The Villa",41.953365,-87.7364471
35,Jefferson Park,"Gladstone Park, Jefferson Park",41.9697375,-87.7631179
36,Kenwood,"Kenwood, North Kenwood",41.8091444,-87.5979908
37,Lake View,"Boystown, Graceland West, Lake View, Lake View East, North Halsted, South East Ravenswood, West Lakeview, Wrigleyville",41.947050000000004,-87.65542878290054
38,Lakeview,Sheridan Station Corridor,41.9439185,-87.6540759
