,Neighborhood,Latitude,Longitude,City
0,Ballpark District,29.7542,-95.3533,Houston
1,Civic Center District,29.7597,-95.368,Houston
2,Convention District,29.7549,-95.3562,Houston
3,Historic District,29.6681,-95.2802,Houston
4,Medical District,29.7095,-95.3982,Houston
5,Shopping District,29.7552,-95.3627,Houston
6,Skyline District,29.7598,-95.3633,Houston
7,Theater District,29.761993,-95.366302,Houston
8,Warehouse District,29.7671,-95.3551,Houston
9,Bellaire,29.7058,-95.4588,Houston
10,Braeburn,29.6733,-95.4399,Houston
11,EaDo,29.7363,-95.3043,Houston
12,Fifth Ward,29.7801,-95.3271,Houston
13,Uptown,29.7392,-95.4645,Houston
14,Garden Oaks,29.8327,-95.4448,Houston
15,Heights,29.8016,-95.4381,Houston
16,Medical Center,29.6851,-95.3993,Houston
17,Memorial Park,29.7771,-95.4355,Houston
18,Midtown,29.7408,-95.3756,Houston
19,Museum District,29.721,-95.3858,Houston
20,River Oaks,29.7475,-95.4331,Houston
21,South Main,29.6726,-95.4201,Houston
22,Third Ward,29.6459,-95.2769,Houston
23,Upper Kirby,29.7329,-95.4334,Houston
24,West University,29.7167,-95.4169,Houston
25,Northside,29.8707,-95.4365,Houston
26,Aldine,29.9014,-95.4001,Houston
27,Champions,29.9992,-95.5434,Houston
28,Conroe,30.3119,-95.4561,Houston
29,Crosby,29.9119,-95.0622,Houston
30,Cypress,29.9717,-95.6938,Houston
31,Cypress Fairbanks,30.019038,-95.755936,Houston
32,North Houston District,29.8402,-95.4149,Houston
33,Humble,29.9988,-95.2622,Houston
34,Jersey Village,29.8877,-95.563,Houston
35,Kingwood,30.05,-95.1845,Houston
36,Lake Houston,29.9724,-95.138,Houston
37,Spring,30.0799,-95.4172,Houston
38,Tomball,30.0972,-95.6161,Houston
39,The Woodlands,30.158,-95.4894,Houston
40,Alvin,29.4238,-95.2441,Houston
41,Missouri City,29.5763,-95.537,Houston
42,Pearland,29.5636,-95.286,Houston
43,Richmond,29.5822,-95.7608,Houston
44,Rosenberg,29.5572,-95.8086,Houston
45,Sugar Land,29.5984,-95.6226,Houston
46,Baytown,29.7355,-94.9774,Houston
47,Clear Lake,29.5857,-95.1328,Houston
48,Deer Park,29.7052,-95.1238,Houston
49,Friendswood,29.5294,-95.201,Houston
50,Galena Park,29.7336,-95.2302,Houston
51,Galena Park,29.7336,-95.2302,Houston
52,Galveston Island,29.241,-94.9091,Houston
53,Kemah,29.542,-95.017,Houston
54,La Marque,29.3686,-94.9713,Houston
55,La Porte,29.6658,-95.0194,Houston
56,League City,29.5075,-95.0949,Houston
57,Nassau Bay,29.5447,-95.091,Houston
58,Webster,29.5377,-95.1183,Houston
59,Alief,29.6827,-95.5932,Houston
60,Chinatown,29.705,-95.5453,Houston
61,Fulshear,29.6931,-95.8999,Houston
62,Katy,29.7857853,-95.8245,Houston
63,Westchase,29.7278,-95.5717,Houston
64,Albany Park,41.9719367,-87.7161739,Chicago
65,Edgewater,41.9833689,-87.6639516,Chicago
66,Edison Park,42.0057335,-87.81401633833357,Chicago
67,Forest Glen,41.991751550000004,-87.75167396842738,Chicago
68,Irving Park,41.953365,-87.7364471,Chicago
69,Jefferson Park,41.9697375,-87.7631179,Chicago
70,Lake View,41.947050000000004,-87.65542878290054,Chicago
71,Lakeview,41.9439185,-87.6540759,Chicago
72,Lincoln Park,41.940297650000005,-87.63811710541756,Chicago
73,Lincoln Square,41.975989850000005,-87.6896163305115,Chicago
74,North Center,41.9561073,-87.6791596,Chicago
75,North Park,41.98495475,-87.72293282470297,Chicago
76,Rogers Park,42.01053135,-87.67074819664808,Chicago
77,Uptown,41.9666299,-87.6555458,Chicago
78,West Ridge,42.0035482,-87.6962426,Chicago
