,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Albany Park,Cocktail Bar,Fried Chicken Joint,Bakery,Grocery Store,Korean Restaurant,Sandwich Place,Karaoke Bar,Chinese Restaurant,Bus Station,Donut Shop
1,Aldine,Food Truck,Convenience Store,Fast Food Restaurant,Event Service,Event Space,Exhibit,Fabric Shop,Farm,Farmers Market,Filipino Restaurant
2,Alief,Construction & Landscaping,Yoga Studio,Fast Food Restaurant,Event Service,Event Space,Exhibit,Fabric Shop,Farm,Farmers Market,Filipino Restaurant
3,Alvin,American Restaurant,Mexican Restaurant,Bank,Seafood Restaurant,Italian Restaurant,BBQ Joint,Sushi Restaurant,Bowling Alley,Food & Drink Shop,Flower Shop
4,Ballpark District,Bar,Baseball Stadium,Soccer Stadium,Sports Bar,Italian Restaurant,Coffee Shop,BBQ Joint,Music Venue,Gym,Light Rail Station
5,Baytown,Fast Food Restaurant,Taco Place,Gym,Health & Beauty Service,American Restaurant,Bakery,Flower Shop,Flea Market,Filipino Restaurant,Ethiopian Restaurant
6,Bellaire,Boat or Ferry,Business Service,Pharmacy,Yoga Studio,Farm,Event Service,Event Space,Exhibit,Fabric Shop,Farmers Market
7,Braeburn,Athletics & Sports,Restaurant,Mexican Restaurant,Soccer Field,Yoga Studio,Farm,Event Service,Event Space,Exhibit,Fabric Shop
8,Champions,Gaming Cafe,Yoga Studio,Empanada Restaurant,Food Court,Food & Drink Shop,Flower Shop,Flea Market,Filipino Restaurant,Fast Food Restaurant,Farmers Market
9,Chinatown,Chinese Restaurant,Vietnamese Restaurant,Bubble Tea Shop,Bakery,Dessert Shop,Sushi Restaurant,Asian Restaurant,Supermarket,Vegetarian / Vegan Restaurant,Noodle House
10,Civic Center District,Theater,Hotel,Burger Joint,Park,Italian Restaurant,Coffee Shop,Sandwich Place,Performing Arts Venue,Thai Restaurant,Concert Hall
11,Clear Lake,Boutique,Insurance Office,Spa,Salon / Barbershop,Yoga Studio,Farm,Ethiopian Restaurant,Event Service,Event Space,Exhibit
12,Conroe,Theater,Pub,Thrift / Vintage Store,Bakery,Bank,Bar,Event Space,Coffee Shop,Discount Store,Farm
13,Convention District,Hotel,Bar,Italian Restaurant,Baseball Stadium,Mexican Restaurant,Sports Bar,Music Venue,Clothing Store,New American Restaurant,Light Rail Station
14,Crosby,Business Service,Music Venue,Home Service,Yoga Studio,Farm,Event Service,Event Space,Exhibit,Fabric Shop,Fast Food Restaurant
15,Cypress,Furniture / Home Store,Pizza Place,Sandwich Place,Hardware Store,Burger Joint,Mexican Restaurant,Supplement Shop,Supermarket,Big Box Store,Pet Store
16,Cypress Fairbanks,IT Services,Empanada Restaurant,Food Service,Food Court,Food & Drink Shop,Flower Shop,Flea Market,Filipino Restaurant,Fast Food Restaurant,Farmers Market
17,Deer Park,Clothing Store,Restaurant,Furniture / Home Store,Bank,Bakery,Coffee Shop,Athletics & Sports,Convenience Store,Boutique,Italian Restaurant
18,EaDo,Mexican Restaurant,Art Gallery,Fast Food Restaurant,Burger Joint,Fried Chicken Joint,Bus Station,Music Venue,Bank,Seafood Restaurant,Chinese Restaurant
19,Edgewater,Mexican Restaurant,Bank,Sushi Restaurant,Gym / Fitness Center,Asian Restaurant,Sandwich Place,Video Store,Bus Station,Restaurant,Mobile Phone Shop
20,Edison Park,Bar,Italian Restaurant,Bakery,American Restaurant,Theater,Mexican Restaurant,Spa,Liquor Store,French Restaurant,Pizza Place
21,Fifth Ward,Park,Yoga Studio,Food Court,Food & Drink Shop,Flower Shop,Flea Market,Filipino Restaurant,Fast Food Restaurant,Farmers Market,Farm
22,Forest Glen,Moving Target,Pharmacy,Indian Restaurant,Grocery Store,Fast Food Restaurant,Asian Restaurant,Golf Course,Coffee Shop,Ethiopian Restaurant,Event Service
23,Friendswood,Ice Cream Shop,Flower Shop,Wine Bar,Rental Car Location,French Restaurant,Dessert Shop,Steakhouse,Discount Store,Coffee Shop,Breakfast Spot
24,Fulshear,Pizza Place,Mexican Restaurant,BBQ Joint,Salon / Barbershop,Candy Store,Gas Station,Café,Sandwich Place,Seafood Restaurant,Convenience Store
25,Galena Park,Mexican Restaurant,Business Service,Home Service,American Restaurant,Yoga Studio,Farmers Market,Event Space,Exhibit,Fabric Shop,Farm
26,Garden Oaks,Discount Store,Intersection,Convenience Store,Yoga Studio,Event Service,Event Space,Exhibit,Fabric Shop,Farm,Farmers Market
27,Heights,Gym,Medical Supply Store,Convenience Store,Video Store,Pizza Place,Café,Fast Food Restaurant,Farmers Market,Filipino Restaurant,Empanada Restaurant
28,Historic District,Convenience Store,Fried Chicken Joint,Hotel,Wings Joint,Dentist's Office,Mexican Restaurant,Pizza Place,Discount Store,Chinese Restaurant,Fast Food Restaurant
29,Humble,Mexican Restaurant,Discount Store,Chinese Restaurant,Vietnamese Restaurant,Pharmacy,Cocktail Bar,French Restaurant,Beer Garden,Automotive Shop,Pub
30,Irving Park,Coffee Shop,Bar,Pizza Place,Sandwich Place,Gym,Auto Dealership,Tapas Restaurant,Bus Line,Donut Shop,Chinese Restaurant
31,Jefferson Park,Bar,Eastern European Restaurant,Pharmacy,Ice Cream Shop,Coffee Shop,Video Store,Chinese Restaurant,Filipino Restaurant,Donut Shop,Bakery
32,Jersey Village,Park,Food & Drink Shop,Other Repair Shop,Empanada Restaurant,Food Court,Flower Shop,Flea Market,Filipino Restaurant,Fast Food Restaurant,Farmers Market
