,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Ballpark District,29.7542,-95.3533,BBVA Compass Stadium,29.75266593666373,-95.35254485495663,Soccer Stadium
1,Ballpark District,29.7542,-95.3533,Texian Army #TAilgate,29.754766904096467,-95.35055879239195,Soccer Stadium
2,Ballpark District,29.7542,-95.3533,Sticky's Chicken,29.752723621666096,-95.35470598971514,Food Truck
3,Ballpark District,29.7542,-95.3533,Houston Dynamo Team Store,29.752564989104805,-95.35213613881542,Sporting Goods Shop
4,Ballpark District,29.7542,-95.3533,Pitch 25 Beer Park,29.75168775951742,-95.35466790845334,Bar
5,Ballpark District,29.7542,-95.3533,AHH Coffee!,29.752803861789086,-95.35481322514916,Coffee Shop
6,Ballpark District,29.7542,-95.3533,Lucky's Pub,29.752459211963238,-95.35413132402206,Sports Bar
7,Ballpark District,29.7542,-95.3533,Warehouse Live,29.752059933334234,-95.35458526365262,Music Venue
8,Ballpark District,29.7542,-95.3533,Diamond Club,29.75656077706362,-95.35532534122467,Baseball Stadium
9,Ballpark District,29.7542,-95.3533,Huynh Restaurant,29.75169152493912,-95.35532092486456,Vietnamese Restaurant
10,Ballpark District,29.7542,-95.3533,Neil's Bahr,29.75223506951304,-95.35545629868716,Beer Garden
11,Ballpark District,29.7542,-95.3533,Minute Maid Park,29.757058129897075,-95.35574826805353,Baseball Stadium
12,Ballpark District,29.7542,-95.3533,Little Woodrow's,29.752275549125823,-95.35484478551584,Bar
13,Ballpark District,29.7542,-95.3533,Club Level,29.757155669962486,-95.35559838086293,Baseball Stadium
14,Ballpark District,29.7542,-95.3533,Marriott Marquis Houston,29.7544464,-95.3581201,Hotel
15,Ballpark District,29.7542,-95.3533,Grotto Downtown,29.7539178,-95.3571966,Italian Restaurant
16,Ballpark District,29.7542,-95.3533,Pappadeaux's Seafood Kitchen,29.7524809,-95.35789229999999,Cajun / Creole Restaurant
17,Ballpark District,29.7542,-95.3533,King's Court Bar and Kitchen,29.751209,-95.35396,Indian Restaurant
18,Ballpark District,29.7542,-95.3533,Saint Arnold Bar,29.75702974710201,-95.35609058906829,Bar
19,Ballpark District,29.7542,-95.3533,Be Fit Gym,29.75067686339788,-95.35108396663715,Gym
20,Ballpark District,29.7542,-95.3533,Astros Team Store,29.757010055526194,-95.35544817539866,Clothing Store
21,Ballpark District,29.7542,-95.3533,Biggio's,29.754688,-95.358142,Sports Bar
22,Ballpark District,29.7542,-95.3533,Eighteen Twenty Lounge,29.758379968734843,-95.35251115487553,Bar
23,Ballpark District,29.7542,-95.3533,Joystix Classic Games & Pinballs,29.75825628609612,-95.35259346612405,Bar
24,Ballpark District,29.7542,-95.3533,Texas BBQ House,29.753241339777,-95.34984157346176,BBQ Joint
25,Ballpark District,29.7542,-95.3533,METRORail EaDo/Stadium Station,29.753505591659874,-95.35201585109134,Light Rail Station
26,Ballpark District,29.7542,-95.3533,Eado/Stadium Light Rail Station,29.75354271666723,-95.35205439593487,Light Rail Station
27,Civic Center District,29.7597,-95.368,Hobby Center for the Performing Arts,29.761525580635887,-95.36937625723134,Performing Arts Venue
28,Civic Center District,29.7597,-95.368,City Hall Farmer's Market,29.759163880661635,-95.36844616089815,Farmers Market
29,Civic Center District,29.7597,-95.368,Becks Prime,29.75818486875766,-95.36617176399422,Burger Joint
